,rnd_id,hole_id,stroke_number,distance,made
0,11,14,3,11,False
1,11,14,4,1,True
2,11,1,4,10,False
3,11,1,5,2,True
4,11,2,7,20,False
5,11,2,8,7,False
6,11,2,9,3,True
7,11,3,3,7,False
8,11,3,4,1,True
9,11,4,3,12,False
10,11,4,4,1,True
11,11,5,4,16,False
12,11,5,5,1,True
13,11,6,4,18,False
14,11,6,5,5,True
15,11,7,5,7,False
16,11,7,6,1,True
17,11,8,2,12,False
18,11,8,3,1,True
19,11,9,6,22,False
20,11,9,7,3,True
21,11,10,4,12,False
22,11,10,5,1,True
23,11,11,3,27,False
24,11,11,4,4,True
25,11,12,6,11,False
26,11,12,7,1,True
27,11,13,5,9,False
28,11,13,6,1,True
29,15,37,5,65,False
30,15,37,6,9,False
31,15,37,7,2,True
32,15,38,3,35,False
33,15,38,4,2,True
34,15,39,4,9,False
35,15,39,5,2,True
36,15,40,3,20,False
37,15,40,4,2,True
38,15,41,5,40,False
39,15,41,6,10,False
40,15,41,7,1,True
41,15,42,5,25,False
42,15,42,6,10,False
43,15,42,7,2,True
44,15,43,5,25,False
45,15,43,6,1,True
46,15,44,3,1,True
47,15,45,5,12,False
48,15,45,6,1,True
49,15,46,4,30,False
50,15,46,5,3,True
51,15,47,2,30,False
52,15,47,3,12,False
53,15,47,4,2,True
54,15,48,8,25,True
55,15,49,5,9,False
56,15,49,6,3,True
57,15,50,5,5,True
58,15,51,5,10,False
59,15,51,6,2,True
60,15,52,2,15,False
61,15,52,3,2,True
62,15,53,7,8,False
63,15,53,8,1,True
64,15,54,7,30,False
65,15,54,8,2,True
66,16,1,5,24,False
67,16,1,6,10,False
68,16,1,7,1,True
69,16,2,3,8,False
70,16,2,4,5,True
71,16,3,5,3,True
72,16,4,4,3,True
73,16,5,4,3,True
74,16,6,5,30,False
75,16,6,6,2,True
76,16,7,4,35,False
77,16,7,5,8,False
78,16,7,6,1,True
79,16,8,3,22,True
80,16,9,4,25,False
81,16,9,5,3,True
82,16,10,3,25,False
83,16,10,4,4,True
84,16,11,3,11,False
85,16,11,4,1,True
86,16,12,6,15,False
87,16,12,7,5,True
88,16,13,4,11,False
89,16,13,5,4,True
90,16,14,2,12,False
91,16,14,3,2,True
92,16,15,4,3,True
93,16,16,4,8,False
94,16,16,5,1,True
95,16,17,3,20,False
96,16,17,4,2,True
97,16,18,7,4,True
98,18,1,5,18,False
99,18,1,6,4,True
100,18,2,4,30,False
101,18,2,5,13,False
102,18,2,6,3,True
103,18,3,3,10,True
104,18,4,3,9,False
105,18,4,4,1,True
106,18,5,4,15,False
107,18,5,5,1,True
108,18,6,5,12,False
109,18,6,6,2,True
110,18,7,3,40,False
111,18,7,4,12,False
112,18,7,5,2,True
113,18,8,2,5,True
114,18,9,5,35,False
115,18,9,6,3,True
116,18,10,8,10,False
117,18,10,9,2,True
118,18,11,2,25,False
119,18,11,3,4,False
120,18,11,4,1,True
121,18,12,6,10,False
122,18,12,7,1,True
123,18,13,5,10,False
124,18,13,6,1,True
125,18,14,4,1,True
126,18,15,4,30,False
127,18,15,5,5,False
128,18,15,6,1,True
129,18,16,4,4,True
130,18,17,4,5,True
131,18,18,5,3,True
132,20,59,3,6,False
133,20,59,4,2,True
134,20,60,6,10,False
135,20,60,7,2,True
138,20,62,5,8,False
139,20,62,6,1,True
140,20,63,3,5,False
141,20,63,4,2,True
142,20,64,4,57,False
143,20,64,5,5,True
144,20,65,7,6,True
145,20,66,3,7,True
146,20,67,5,40,False
147,20,67,6,3,True
148,20,68,5,9,False
149,20,68,6,2,True
150,20,69,3,6,True
151,20,70,4,9,False
152,20,70,5,2,True
153,20,71,4,50,False
154,20,71,5,3,True
155,20,72,5,28,False
156,20,72,6,4,True
157,20,55,5,10,False
158,20,55,6,3,True
159,20,56,4,60,False
160,20,56,5,7,False
161,20,56,6,4,True
162,20,57,2,10,True
163,26,11,3,8,False
164,26,11,4,4,True
165,26,12,3,38,False
166,26,12,4,8,False
167,26,12,5,1,True
168,26,13,3,8,True
169,26,14,2,35,False
170,26,14,3,7,True
171,26,15,5,15,False
172,26,15,6,3,True
173,26,16,3,30,False
174,26,16,4,2,True
175,26,17,3,45,False
176,26,17,4,5,True
177,26,18,4,32,False
178,26,18,5,7,False
179,26,18,6,3,True
180,27,145,4,15,False
181,27,145,5,3,True
182,27,146,3,35,False
183,27,146,4,8,False
184,27,146,5,1,True
185,27,147,4,5,False
186,27,147,5,1,True
187,27,148,5,6,False
188,27,148,6,1,True
189,27,149,2,30,False
190,27,149,3,8,False
191,27,149,4,3,True
192,27,150,6,25,False
193,27,150,7,5,False
194,27,150,8,1,True
195,27,151,5,16,False
196,27,151,6,1,True
197,27,152,7,20,False
198,27,152,8,1,True
199,27,153,4,20,False
200,27,153,5,2,True
201,27,154,4,18,False
202,27,154,5,4,True
203,27,155,6,30,False
204,27,155,7,8,False
205,27,155,8,2,True
206,27,161,3,17,False
207,27,161,4,2,True
208,27,162,4,35,False
209,27,162,5,2,True
210,28,171,6,5,False
211,28,171,7,7,False
212,28,171,8,2,True
213,28,172,5,16,False
214,28,172,6,4,True
215,28,173,3,87,False
216,28,173,4,6,False
217,28,173,5,1,True
218,28,174,4,8,False
219,28,174,5,2,True
220,26,1,4,40,False
221,26,1,5,18,False
222,26,1,6,2,True
223,26,2,4,4,False
224,26,2,5,1,True
225,26,3,4,20,False
226,26,3,5,6,False
227,26,3,6,1,True
228,26,4,2,40,False
229,26,4,3,1,True
230,26,5,5,5,False
231,26,5,6,1,True
232,26,6,5,5,True
233,26,7,4,7,True
234,26,8,3,15,False
235,26,8,4,1,True
236,26,9,5,8,True
237,26,10,4,27,False
238,26,10,5,7,False
239,26,10,6,2,True
240,29,1,4,20,False
241,29,1,5,7,True
242,29,2,5,12,False
243,29,2,6,1,True
244,29,3,4,12,True
245,29,4,4,1,True
246,29,5,4,33,False
247,29,5,5,6,False
248,29,5,6,3,True
249,29,6,5,25,False
250,29,6,6,1,True
251,29,7,4,15,False
252,29,7,5,1,True
253,29,8,3,22,False
254,29,8,4,3,True
255,29,9,6,16,False
256,29,9,7,2,True
257,28,163,5,40,False
258,28,163,6,8,False
259,28,163,7,1,True
260,28,164,5,4,True
261,28,165,4,12,False
262,28,165,5,1,True
263,28,166,5,8,True
264,28,167,4,25,False
265,28,167,5,2,True
266,28,168,6,5,True
267,28,169,3,14,False
268,28,169,4,2,True
269,28,170,4,17,False
270,28,170,5,1,True
271,30,73,5,16,False
272,30,73,6,1,True
273,30,74,6,12,False
274,30,74,7,10,False
275,30,74,8,1,True
276,30,75,7,12,True
277,30,76,3,10,False
278,30,76,4,1,True
279,30,77,4,1,True
280,30,78,8,6,False
281,30,78,9,5,True
282,30,79,9,8,False
283,30,79,10,6,False
284,30,79,11,3,True
285,30,80,3,1,True
286,30,81,4,30,False
287,30,81,5,1,True
288,30,82,5,10,False
289,30,82,6,1,True
290,30,83,5,12,False
291,30,83,6,1,True
292,30,84,4,1,True
293,30,85,7,3,True
294,30,86,6,9,False
295,30,86,7,2,True
296,30,87,3,18,False
297,30,87,4,3,False
298,30,87,5,1,True
299,30,88,5,12,False
300,30,88,6,1,True
301,30,89,5,5,True
302,30,90,8,7,False
303,30,90,9,1,True
304,31,18,7,1,True
305,31,1,4,16,False
306,31,1,5,2,True
307,31,2,4,12,False
308,31,2,5,1,True
309,31,3,3,5,True
310,31,4,4,6,False
311,31,4,5,1,True
312,31,5,5,18,False
313,31,5,6,2,True
314,31,6,4,1,True
315,31,7,4,6,True
316,31,8,2,43,False
317,31,8,3,12,False
318,31,8,4,3,True
319,31,9,4,14,True
320,31,10,3,38,False
321,31,10,4,6,True
322,31,11,3,5,True
323,31,12,3,9,False
324,31,12,4,1,True
325,31,13,4,42,False
326,31,13,5,7,False
327,31,13,6,4,True
328,31,14,2,20,False
329,31,14,3,2,True
330,31,15,4,17,False
331,31,15,5,5,True
332,31,16,3,10,False
333,31,16,4,1,True
334,31,17,3,38,False
335,31,17,4,12,False
336,31,17,5,3,True
337,32,1,4,8,False
338,32,1,5,4,True
339,32,2,4,15,False
340,32,2,5,3,True
341,32,3,5,9,False
342,32,3,6,1,True
343,32,4,3,10,False
344,32,4,4,3,True
345,32,5,5,11,True
346,32,6,5,10,False
347,32,6,6,1,True
348,32,7,3,37,False
349,32,7,4,3,True
350,32,8,4,10,True
351,32,9,3,7,False
352,32,9,4,2,True
353,32,10,6,36,False
354,32,10,7,3,True
355,32,11,3,4,True
356,32,12,3,40,False
357,32,12,4,4,True
358,32,13,5,3,True
359,32,14,3,16,False
360,32,14,4,3,False
361,32,14,5,1,True
362,32,15,5,14,False
363,32,15,6,3,True
364,32,16,3,39,False
365,32,16,4,1,True
366,32,17,5,8,False
367,32,17,6,1,True
368,32,18,5,12,False
369,32,18,6,3,True
370,33,99,5,15,False
371,33,99,6,3,True
372,33,91,4,3,True
373,33,92,5,6,False
374,33,92,6,2,True
375,33,93,6,12,False
376,33,93,7,2,True
377,33,94,3,30,False
378,33,94,4,8,True
379,33,95,3,39,False
380,33,95,4,2,True
381,33,96,5,18,False
382,33,96,6,2,True
383,33,97,5,16,False
384,33,97,6,2,True
385,33,98,4,36,False
386,33,98,5,2,True
387,34,181,5,5,False
388,34,181,6,1,True
389,34,182,3,24,True
390,34,183,7,15,False
391,34,183,8,1,True
392,34,184,4,14,False
393,34,184,5,1,True
394,34,185,4,1,True
395,34,186,4,75,False
396,34,186,5,15,False
397,34,186,6,1,True
398,34,187,5,39,False
399,34,187,6,5,False
400,34,187,7,1,True
401,34,188,3,20,False
402,34,188,4,1,True
403,34,189,4,30,False
404,34,189,5,10,False
405,34,189,6,1,True
406,34,190,4,4,True
407,34,191,6,10,False
408,34,191,7,4,True
409,34,192,5,11,False
410,34,192,6,1,True
411,34,193,4,8,False
412,34,193,5,4,False
413,34,193,6,1,True
414,34,194,4,27,False
415,34,194,5,1,True
416,34,195,3,35,False
417,34,195,4,10,True
418,34,196,3,11,False
419,34,196,4,4,True
420,34,197,4,36,False
421,34,197,5,9,False
422,34,197,6,1,True
423,34,198,4,30,False
424,34,198,5,6,True
425,35,1,5,20,False
426,35,1,6,2,True
427,35,2,4,35,False
428,35,2,5,5,True
429,35,3,4,10,False
430,35,3,5,2,True
431,35,4,4,9,True
432,35,5,4,42,False
433,35,5,5,3,True
434,35,6,4,18,True
435,35,7,4,18,False
436,35,7,5,1,True
437,35,8,2,30,False
438,35,8,3,6,True
439,35,9,4,16,False
440,35,9,5,2,True
441,35,10,4,15,True
442,35,11,4,3,True
443,35,12,4,13,False
444,35,12,5,2,True
445,35,13,5,45,False
446,35,13,6,10,False
447,35,13,7,1,True
448,35,14,2,28,False
449,35,14,3,5,True
450,35,15,6,11,False
451,35,15,7,1,True
452,35,16,4,43,False
453,35,16,5,3,True
454,35,17,4,25,False
455,35,17,5,2,True
456,35,18,7,8,False
457,35,18,8,1,True
458,36,1,4,30,False
459,36,1,5,3,True
460,36,2,3,38,False
461,36,2,4,1,True
462,36,3,3,40,False
463,36,3,4,11,False
464,36,3,5,2,True
465,36,4,2,15,True
466,36,5,4,24,False
467,36,5,5,3,True
468,36,6,4,27,False
469,36,6,5,9,False
470,36,6,6,2,True
471,36,7,3,60,False
472,36,7,4,1,True
473,36,8,3,24,False
474,36,8,4,3,False
475,36,8,5,1,True
476,36,9,5,27,False
477,36,9,6,3,True
478,36,10,4,18,False
479,36,10,5,3,True
480,36,11,4,18,False
481,36,11,5,1,True
482,36,12,5,10,False
483,36,12,6,1,True
484,36,13,4,33,True
485,36,14,2,27,False
486,36,14,3,3,True
487,36,15,6,18,False
488,36,15,7,1,True
489,36,16,4,3,True
490,36,17,4,21,False
491,36,17,5,3,True
492,36,18,4,21,False
493,36,18,5,2,True
494,37,110,5,9,True
495,37,111,5,10,False
496,37,111,6,2,True
497,37,112,4,3,True
498,37,113,6,36,False
499,37,113,7,8,False
500,37,113,8,3,True
501,37,114,6,9,False
502,37,114,7,1,True
503,37,115,3,8,True
504,37,116,2,18,False
505,37,116,3,3,True
506,37,117,4,24,False
507,37,117,5,5,True
508,37,118,4,9,False
509,37,118,5,1,True
510,37,119,2,27,False
511,37,119,3,1,True
512,37,120,6,4,True
513,37,121,5,7,False
514,37,121,6,1,True
515,37,122,5,27,False
516,37,122,6,10,False
517,37,122,7,1,True
518,37,123,4,35,False
519,37,123,5,15,False
520,37,123,6,7,False
521,37,123,7,3,True
522,37,124,3,12,False
523,37,124,4,3,True
524,37,125,5,9,False
525,37,125,6,1,True
526,37,126,8,12,True
527,37,109,4,27,False
528,37,109,5,8,True
529,38,145,4,24,False
530,38,145,5,4,True
531,38,146,4,24,False
532,38,146,5,3,True
533,38,147,3,10,False
534,38,147,4,1,True
535,38,148,4,27,False
536,38,148,5,8,False
537,38,148,6,3,True
538,38,149,2,20,False
539,38,149,3,5,True
540,38,150,9,12,False
541,38,150,10,1,True
542,38,151,5,10,True
543,38,152,3,45,False
544,38,152,4,1,True
545,38,153,5,10,False
546,38,153,6,1,True
547,38,154,3,20,False
548,38,154,4,1,True
549,38,155,7,12,False
550,38,155,8,2,True
551,38,156,4,45,False
552,38,156,5,5,True
553,38,157,3,28,True
554,38,158,2,5,True
555,38,159,5,3,True
556,38,160,5,35,False
557,38,160,6,3,True
558,38,161,3,18,False
559,38,161,4,2,True
560,38,162,5,36,False
561,38,162,6,12,True
562,39,91,5,24,False
563,39,91,6,12,False
564,39,91,7,1,True
565,39,92,4,24,False
566,39,92,5,1,True
567,39,93,7,18,False
568,39,93,8,10,False
569,39,93,9,3,True
570,39,94,3,18,False
571,39,94,4,1,True
572,39,95,4,35,True
573,39,96,3,30,True
574,39,97,5,2,True
575,39,98,3,20,False
576,39,98,4,1,True
577,39,99,4,18,False
578,39,99,5,3,True
579,40,199,4,18,False
580,40,199,5,1,True
581,40,200,3,10,False
582,40,200,4,1,True
583,40,201,6,10,False
584,40,201,7,1,True
585,40,202,4,6,True
586,40,203,4,3,True
587,40,204,5,15,False
588,40,204,6,1,True
589,40,205,5,28,False
590,40,205,6,8,False
591,40,205,7,3,True
592,40,206,5,8,True
593,40,207,4,2,True
594,40,208,4,7,False
595,40,208,5,3,True
596,40,209,6,7,False
597,40,209,7,1,True
598,40,210,5,3,True
599,40,211,5,3,True
600,40,212,6,8,False
601,40,212,7,3,True
602,40,213,4,12,False
603,40,213,5,2,True
604,40,214,3,7,False
605,40,214,4,3,True
606,40,215,4,18,False
607,40,215,5,4,True
608,40,216,3,21,False
609,40,216,4,4,True
610,41,145,4,12,False
611,41,145,5,1,True
612,41,146,4,12,False
613,41,146,5,1,True
614,41,147,5,16,False
615,41,147,6,5,True
616,42,1,3,27,False
617,42,1,4,7,False
618,42,1,5,2,True
619,42,2,3,20,False
620,42,2,4,5,False
621,42,2,5,1,True
622,42,3,3,18,False
623,42,3,4,3,True
624,42,4,4,3,True
625,42,5,5,3,True
626,42,6,5,21,False
627,42,6,6,3,True
628,42,7,3,8,False
629,42,7,4,4,True
630,42,8,3,8,False
631,42,8,4,1,True
632,42,9,4,12,False
633,42,9,5,3,True
634,42,10,4,4,False
635,42,10,5,2,True
636,42,11,2,12,False
637,42,11,3,3,True
638,42,12,3,12,False
639,42,12,4,1,True
640,42,13,3,42,False
641,42,13,4,6,False
642,42,13,5,2,True
643,42,14,3,7,False
644,42,14,4,3,False
645,42,14,5,2,True
646,42,15,4,8,False
647,42,15,5,1,True
648,42,16,4,12,False
649,42,16,5,2,True
650,42,17,4,27,False
651,42,17,5,16,False
652,42,17,6,3,True
653,42,18,4,30,False
654,42,18,5,7,False
655,42,18,6,1,True
656,43,127,5,8,False
657,43,127,6,1,True
658,43,128,5,12,False
659,43,128,6,1,True
660,43,129,2,33,False
661,43,129,3,10,False
662,43,129,4,1,True
663,43,130,5,18,False
664,43,130,6,4,True
665,43,131,3,30,False
666,43,131,4,7,False
667,43,131,5,1,True
668,43,132,3,45,False
669,43,132,4,20,False
670,43,132,5,1,True
671,43,133,3,20,False
672,43,133,4,4,True
673,43,134,6,20,False
674,43,134,7,1,True
675,43,135,4,20,False
676,43,135,5,4,True
677,43,136,4,22,False
678,43,136,5,15,False
679,43,136,6,3,True
680,43,137,5,12,False
681,43,137,6,1,True
682,43,138,4,81,False
683,43,138,5,5,True
684,43,139,5,18,False
685,43,139,6,3,True
686,43,140,3,54,False
687,43,140,4,5,True
688,43,141,6,1,True
689,43,142,3,25,False
690,43,142,4,6,False
691,43,142,5,1,True
692,43,143,5,15,False
693,43,143,6,3,True
694,43,144,6,12,False
695,43,144,7,1,True
696,44,1,4,10,False
697,44,1,5,2,True
698,44,2,4,10,True
699,44,3,3,30,False
700,44,3,4,3,True
701,44,4,3,14,False
702,44,4,4,2,True
703,44,5,4,24,False
704,44,5,5,3,True
705,44,6,5,18,False
706,44,6,6,4,True
707,44,7,4,4,True
708,44,8,3,7,False
709,44,8,4,2,True
710,44,9,5,20,False
711,44,9,6,2,True
712,44,10,4,10,False
713,44,10,5,3,True
714,44,11,2,24,False
715,44,11,3,7,True
716,44,12,3,19,False
717,44,12,4,4,True
718,44,13,4,6,False
719,44,13,5,3,True
720,44,14,3,16,False
721,44,14,4,3,True
722,45,73,4,18,False
723,45,73,5,3,True
724,45,74,5,27,False
725,45,74,6,4,True
726,45,75,6,56,False
727,45,75,7,10,False
728,45,75,8,3,True
729,45,76,3,36,False
730,45,76,4,3,True
731,45,77,4,8,False
732,45,77,5,3,True
733,45,78,4,25,False
734,45,78,5,4,True
735,45,79,6,9,False
736,45,79,7,4,True
737,46,11,3,30,False
738,46,11,4,4,True
739,46,12,4,21,False
740,46,12,5,5,False
741,46,12,6,1,True
742,46,13,6,1,True
743,46,14,3,18,False
744,46,14,4,1,True
745,46,15,5,7,True
746,46,16,4,33,False
747,46,16,5,5,False
748,46,16,6,1,True
749,46,17,5,30,False
750,46,17,6,6,True
751,46,18,5,15,False
752,46,18,6,3,True
753,46,1,3,25,False
754,46,1,4,4,True
755,46,2,4,15,False
756,46,2,5,1,True
757,46,3,3,30,False
758,46,3,4,3,True
759,46,4,4,6,True
760,46,5,3,10,False
761,46,5,4,1,True
762,46,10,5,4,True
763,46,6,4,18,True
764,46,7,3,36,False
765,46,7,4,3,True
766,46,8,2,21,False
767,46,8,3,8,False
768,46,8,4,3,True
769,46,9,4,6,True
770,47,1,4,29,False
771,47,1,5,7,False
772,47,1,6,6,False
773,47,1,7,3,True
774,47,2,4,16,False
775,47,2,5,3,True
776,47,3,3,24,False
777,47,3,4,1,True
778,47,4,3,1,True
779,47,5,3,36,False
780,47,5,4,4,True
781,47,6,4,1,True
782,47,7,4,1,True
783,47,8,3,10,False
784,47,8,4,3,True
785,47,9,5,15,False
786,47,9,6,2,True
787,47,10,4,15,False
788,47,10,5,2,True
789,47,11,3,14,False
790,47,11,4,4,True
791,47,12,3,21,False
792,47,12,4,5,True
793,47,13,4,7,False
794,47,13,5,1,True
795,47,14,2,7,False
796,47,14,3,2,True
797,47,15,6,12,False
798,47,15,7,3,True
799,47,16,5,10,False
800,47,16,6,4,True
801,47,17,4,10,False
802,47,17,5,3,True
803,47,18,4,12,False
804,47,18,5,3,True
805,48,55,3,22,False
806,48,55,4,3,True
807,48,56,6,3,True
808,48,57,2,12,False
809,48,57,3,3,True
810,48,58,4,18,False
811,48,58,5,4,True
812,48,59,3,45,False
813,48,59,4,6,False
814,48,59,5,3,True
815,49,145,4,20,False
816,49,145,5,3,True
817,49,146,4,30,False
818,49,146,5,3,True
819,49,147,3,5,True
820,49,148,4,6,True
821,49,149,2,36,False
822,49,149,3,2,True
823,49,150,6,14,False
824,49,150,7,3,True
825,49,151,5,12,False
826,49,151,6,4,True
827,49,152,5,8,False
828,49,152,6,1,True
829,49,153,3,57,False
830,49,153,4,5,True
831,49,154,3,7,False
832,49,154,4,1,True
833,49,155,4,20,False
834,49,155,5,3,True
835,49,156,4,5,False
836,49,156,5,1,True
837,49,157,4,15,False
838,49,157,5,1,True
839,49,158,3,18,False
840,49,158,4,1,True
841,49,159,3,12,False
842,49,159,4,2,True
843,49,160,4,15,False
844,49,160,5,2,True
845,49,161,3,36,False
846,49,161,4,5,True
847,49,162,5,15,False
848,49,162,6,7,True
849,50,73,6,18,False
850,50,73,7,3,True
851,50,74,5,18,False
852,50,74,6,2,True
853,50,75,4,15,False
854,50,75,5,3,True
855,50,76,4,18,False
856,50,76,5,4,True
857,50,77,5,6,True
858,50,78,7,6,True
859,50,79,8,22,False
860,50,79,9,3,True
861,50,80,3,25,False
862,50,80,4,12,False
863,50,80,5,8,True
864,50,81,3,24,False
865,50,81,4,12,False
866,50,81,5,3,True
867,50,82,4,14,False
868,50,82,5,4,True
869,50,83,4,15,False
870,50,83,5,3,True
871,50,84,4,6,True
872,50,85,5,5,True
873,50,86,6,12,False
874,50,86,7,3,True
875,50,87,6,12,False
876,50,87,7,3,True
877,50,88,4,25,False
878,50,88,5,4,True
879,50,89,3,16,True
880,50,90,9,15,False
881,50,90,10,1,True
